No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité,Cas saison 2023-2024,Taux cas saison 2023-2024
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,21,58.56,766,2109.90,127,345.59,263,715.67,2189,5927.03,707,1904.84,770,2074.58,1198,3212.05,663,1764.80
15,15 - Laurentides,1512,1512 - RLS des Laurentides,141,288.28,700,1411.36,208,413.65,613,1219.08,3160,6221.64,737,1436.73,612,1193.05,1171,2261.27,564,1072.82
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,179,394.26,635,1371.77,147,311.58,564,1195.45,2394,5013.56,628,1299.62,630,1303.75,981,2007.37,505,1015.57
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,78,230.80,417,1213.92,185,529.98,278,796.40,1828,5187.73,374,1051.54,371,1043.10,867,2415.75,359,986.17
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,551,440.90,2765,2190.63,688,539.75,1095,859.05,7679,5973.76,1749,1349.29,1606,1238.97,2458,1880.99,1371,1034.31
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,809,453.72,3688,2038.04,1113,606.16,2292,1248.26,12952,6971.78,2857,1520.17,2686,1429.18,4326,2276.34,2282,1176.33
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1004,609.86,4056,2446.27,1136,680.33,1463,876.16,12187,7250.91,2541,1502.01,2216,1309.90,3037,1783.79,1532,889.84
15,15 - Laurentides,,Total (incluant inconnus),2848,450.72,13181,2061.06,3630,560.90,6611,1021.51,42897,6568.12,9656,1465.16,8972,1361.38,14190,2134.43,7353,1089.37
16,16 - Montérégie,1611,1611 - RLS de Champlain,1577,696.07,5571,2454.04,1618,711.31,2125,934.19,10042,4384.23,2594,1124.76,2453,1063.62,4467,1924.71,2208,939.87
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,621,317.11,3925,1993.59,985,497.65,1523,769.46,9340,4689.84,2965,1479.70,2262,1128.87,4712,2337.55,2398,1176.31
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,1743,662.25,6517,2477.10,1730,657.83,1809,687.87,12181,4608.79,3233,1217.18,2806,1056.42,5043,1889.74,2755,1022.65
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,785,353.15,5947,2665.65,1180,527.00,1096,489.48,9656,4290.57,2958,1307.74,2520,1114.10,4355,1915.99,2377,1037.14
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,42,80.98,1097,2097.49,167,316.68,497,942.45,2561,4832.12,898,1685.94,474,889.91,1391,2598.81,918,1702.98
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,546,338.32,3101,1904.30,1097,667.69,991,603.18,7907,4773.23,1693,1013.72,1474,882.59,2735,1625.14,1272,745.60
16,16 - Montérégie,1632,1632 - RLS du Suroît,476,780.99,1217,1967.62,328,522.67,520,828.62,3694,5832.52,1010,1580.25,910,1423.79,1772,2747.61,938,1432.89
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,88,358.17,478,1918.56,123,486.94,106,419.64,946,3715.71,210,818.43,239,931.45,574,2220.03,302,1153.82
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,870,373.51,5358,2284.12,1635,692.13,1650,698.48,12233,5136.95,3499,1457.63,2973,1238.50,4669,1930.34,2367,964.91
16,16 - Montérégie,,Total (incluant inconnus),6804,472.64,33325,2303.73,8889,611.53,10366,713.14,68988,4715.07,19171,1301.76,16207,1100.49,29923,2019.28,15613,1041.69
17,17 - Nunavik,1701,1701 - Nunavik,n.d.,n.d.,49,338.78,19,130.35,887,6085.35,1739,11845.24,377,2549.71,234,1582.58,323,2169.17,136,901.20
17,17 - Nunavik,,Total (incluant inconnus),n.d.,n.d.,54,373.35,20,137.21,890,6105.93,1763,12008.72,379,2563.24,234,1582.58,325,2182.60,137,907.83
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,5,27.24,100,540.00,7,37.48,27,144.55,1166,6194.38,894,4713.20,525,2767.82,376,1967.45,196,1010.62
18,18 - Terres-Cries-de-la-Baie-James,,Total (incluant inconnus),5,27.24,100,540.00,7,37.48,33,176.67,1180,6268.76,899,4739.56,526,2773.09,380,1988.38,201,1036.40

